laptopname,amazonprice in (LE),specs,ratingnumber,deliverytype,amazongetlink,amazon_rating_link
"Dell Vostro 3520 Laptop - 12th Intel Core i5-1235U 10-Cores and 8GB RAM and 512GB SSD and Intel UHD Graphics and 15.6 FHD (1920 x 1080) 120Hz 250 nits Anti-Glare and FingerPrint and Ubuntu - Carbon Black""",23737.08,/Dell/Vostro 3520/15.6 Inches/Carbon Black/512 GB/Core i5-1235U/8 GB/Ubuntu/Integrated,19,FREE delivery,https://www.amazon.eg//-/en/Dell-Vostro-3520-Laptop-FingerPrint/dp/B0CQFCNBT4,https://www.amazon.eg//-/en/Dell-Vostro-3520-Laptop-FingerPrint/dp/B0CQFCNBT4#customerReviews
HP Victus Gaming Laptop (15-fb1004ne) and CPU: Ryzen 5-7535HS and 16GB DDR5 2DM 4800 Graphics Card: NVIDIA GeForce RTX 2050 and VRAM: 4GB and Display: 15.6 FHD Antiglare IPS 250 nits 144Hz and 512GB and Windows 11,32949,/HP/Victus/15.6 Inches/Black/16 GB/Windows 11/Dedicated/SSD/1920x1080,19,FREE delivery,https://www.amazon.eg//-/en/HP-Victus-Gaming-Laptop-15-fb1004ne/dp/B0CZTTPBB5,https://www.amazon.eg//-/en/HP-Victus-Gaming-Laptop-15-fb1004ne/dp/B0CZTTPBB5#customerReviews
"ASUS Vivobook 15 and AMD Ryzen 7 7730U and 8GB DDR4 on board AMD Radeon Graphics and 15.6 (1920 x 1200) 16:10 IPS 250 Nits and 512GB SSD and Windows 11 (D1502YA-NJ007W) 1 Year Perfect Warranty by ASUS""",22730,/HP/Victus/15.6 Inches/Black/16 GB/Windows 11/Dedicated/SSD/1920x1080,1,FREE delivery,https://www.amazon.eg//-/en/ASUS-Vivobook-Ryzen-Radeon-Graphics/dp/B0D2DD39XR,https://www.amazon.eg//-/en/ASUS-Vivobook-Ryzen-Radeon-Graphics/dp/B0D2DD39XR#customerReviews
ASUS VivoBook 15 Laptop and Processor-Intel Celeron N4020 1.1GHz and RAM-4GB and Storage-256GB SSD and OS-Windows 11 Home and Display-15.6 FHD and Graphics-Intel UHD 600 and Color-Grey (X515M-BR001W),11999,/ASUS/X515M-BR001W/15.6 Inches/Gray/256 GB/Celeron N4020/4 GB/Windows 11 Home/Integrated,19,FREE delivery,https://www.amazon.eg//-/en/ASUS-Processor-Intel-Storage-256GB-Graphics-Intel-X515M-BR001W/dp/B0D26GCBVX,https://www.amazon.eg//-/en/ASUS-Processor-Intel-Storage-256GB-Graphics-Intel-X515M-BR001W/dp/B0D26GCBVX#customerReviews
HP Laptop CPU: Ryzen 3 7320U 4GB LPDDR5 on board Screen: 14.0 HD Anti-Glare SVA 250 LEDs Narrow Bezel Ultra Slim 256GB Windows 11 14 em0005ne,18099,/ASUS/X515M-BR001W/15.6 Inches/Gray/256 GB/Celeron N4020/4 GB/Windows 11 Home/Integrated,29,FREE delivery,https://www.amazon.eg//-/en/HP-Laptop-CPU-Anti-Glare-em0005ne/dp/B0BVWG4XHZ,https://www.amazon.eg//-/en/HP-Laptop-CPU-Anti-Glare-em0005ne/dp/B0BVWG4XHZ#customerReviews
ASUS TUF Gaming A15 FA506NFR-HN007W Gaming Laptop AMD R7 7435HS 8GB RAM 512GB SSD RTX 2050 4GB 15.6” FHD 144Hz Win11 Graphite Black - 90NR0JU7-M000R0,31800,/ASUS/X515M-BR001W/15.6 Inches/Gray/256 GB/Celeron N4020/4 GB/Windows 11 Home/Integrated,0,,https://www.amazon.eg//-/en/ASUS-Gaming-FA506NFR-HN007W-Laptop-Graphite/dp/B0DLH5Z41C,not available
"HP 15-GW Laptop - Ryzen 3 3250U 2-Cores and 8 GB RAM and 1 TB HDD and AMD Radeon Graphics and 15.6 HD (1366 x 768) micro-edge anti-glare 220 nits and Dos - Black""",17859,/HP/15GW3250U8G1T/15.6 Inches/Black/1 TB/Ryzen 3 3250U/8 GB/DOS/Micro Edge Display/Integrated,19,FREE delivery,https://www.amazon.eg//-/en/HP-15-GW-Laptop-micro-edge-anti-glare/dp/B0C58CLRTL,https://www.amazon.eg//-/en/HP-15-GW-Laptop-micro-edge-anti-glare/dp/B0C58CLRTL#customerReviews
Asus X1504VA-NJ017W Vivobook 15 Intel Core i7-1355U 8GB RAM 512GB SSD Windows 11 Home 16:9 60Hz 15.6-Inch FHD Display Laptop and Quiet Blue,24900,/ASUS/X1504VA-NJ017W/15.6 Inches/Black/512 GB/Intel Core i7/8 GB/Windows 11 Home/Light Weight/Integrated,19,FREE delivery,https://www.amazon.eg//-/en/X1504VA-NJ017W-Vivobook-Intel-i7-1355U-Windows/dp/B0D26FM5RZ,https://www.amazon.eg//-/en/X1504VA-NJ017W-Vivobook-Intel-i7-1355U-Windows/dp/B0D26FM5RZ#customerReviews
"HP Victus 15-fb0049ne Gaming Laptop - Ryzen 5-5600H 6-Cores and 8 GB RAM and 512GB SSD and 15.6 FHD (1920X1080) 144 Hz IPS and AMD Radeon RX 6500M 4GB GDDR6 Graphics and Backlit Keyboard - Mica Silver""",30299,/ASUS/X1504VA-NJ017W/15.6 Inches/Black/512 GB/Intel Core i7/8 GB/Windows 11 Home/Light Weight/Integrated,26,FREE delivery,https://www.amazon.eg//-/en/HP-Victus-15-fb0049ne-Gaming-Laptop/dp/B0CP8WPPGT,https://www.amazon.eg//-/en/HP-Victus-15-fb0049ne-Gaming-Laptop/dp/B0CP8WPPGT#customerReviews
"Lenovo IdeaPad Slim 3 15IRH8 Intel Core i5-13420H 512GB SSD 8GB RAM Intel UHD Graphics 15.6 Windows 11 Laptop and Arctic Grey""",24499,/Lenovo/Laptop/15.6 Inches/Gray/512 GB/None/8 GB/Windows 11/Integrated/Intel UHD Graphics,19,FREE delivery,https://www.amazon.eg//-/en/Lenovo-IdeaPad-i5-13420H-Graphics-Windows/dp/B0D45KJ723,not available
"Lenovo IdeaPad 1 15IAU7 Laptop - 12th Intel Core i3-1215U and 8 GB RAM and 256 GB SSD and Integrated Intel UHD Graphics and 15.6 HD (1366x768) TN 220nits Anti-glare and Abyss Blue""",15999,/Lenovo/Lenovo IdeaPad 1 15IAU7/15.6 Inches/Abyss Blue/256 GB/Core i3-1215U/8 GB/Integrated/Intel UHD Graphics,19,FREE delivery,https://www.amazon.eg//-/en/Lenovo-IdeaPad-15IAU7-Laptop-Integrated/dp/B0DC9BLBHM,https://www.amazon.eg//-/en/Lenovo-IdeaPad-15IAU7-Laptop-Integrated/dp/B0DC9BLBHM#customerReviews
ASUS Vivobook 15-X1504VA-NJ005W- i5-1335U-DDR4 8GB-512GB M.2 NVMe -Intel Iris X Graphics - 15.6-inch FHD (1920 x 1080) -Win11,23900,/Lenovo/Lenovo IdeaPad 1 15IAU7/15.6 Inches/Abyss Blue/256 GB/Core i3-1215U/8 GB/Integrated/Intel UHD Graphics,5,,https://www.amazon.eg//-/en/ASUS-Vivobook-15-X1504VA-NJ005W-i5-1335U-DDR4-8GB-512GB/dp/B0CN52DP3D,https://www.amazon.eg//-/en/ASUS-Vivobook-15-X1504VA-NJ005W-i5-1335U-DDR4-8GB-512GB/dp/B0CN52DP3D#customerReviews
"Dell Inspiron 3520 Laptop - 12th Intel Core i3-1215U 6-Cores and 8GB RAM and 256GB SSD and Intel UHD Graphics and 15.6 FHD (1920 x 1080) 120Hz 250 nits Anti-Glare and Windows 11 - Carbon Black""",18499,/Lenovo/Lenovo IdeaPad 1 15IAU7/15.6 Inches/Abyss Blue/256 GB/Core i3-1215U/8 GB/Integrated/Intel UHD Graphics,8,FREE delivery,https://www.amazon.eg//-/en/Dell-Inspiron-3520-Laptop-Anti-Glare/dp/B0CR8NJXG6,https://www.amazon.eg//-/en/Dell-Inspiron-3520-Laptop-Anti-Glare/dp/B0CR8NJXG6#customerReviews
"Lenovo Legion 7 Gaming Laptop and Intel Core i7-11800H and 16 WQXGA 165Hz and NVIDIA RTX 3070 8GB and 32GB DDR4 RAM and 1TB PCIe 4.0 SSD and Per-Key RGB Keyboard and Wi-Fi 6 and Windows 11 and Arabic/English - Storm Grey""",74390,/Lenovo/Lenovo IdeaPad 1 15IAU7/15.6 Inches/Abyss Blue/256 GB/Core i3-1215U/8 GB/Integrated/Intel UHD Graphics,0,FREE delivery,https://www.amazon.eg//-/en/Lenovo-i7-11800H-Keyboard-Windows-English/dp/B0C1VNP8CW,not available
"DELL Vostro 3520 Laptop - 12th Intel core i7-1255U 10 Cores and 16GB RAM and 512 GB SSD PCIe NVMe and Intel Iris Xe Graphics and 15.6 FHD (1920x1080) 250 nits WVA Anti- Glare and UBUNTU - Carbon Black""",30903,/Dell/Vostro 3520 i7-1255U 8G 512G Iris UBU/15.6 Inches/Black/512 GB/Intel Core i7/16 GB/UBUNTU/English Arabic/Integrated,19,FREE delivery,https://www.amazon.eg//-/en/DELL-Vostro-3520-Laptop-1920x1080/dp/B0C3TQNX18,https://www.amazon.eg//-/en/DELL-Vostro-3520-Laptop-1920x1080/dp/B0C3TQNX18#customerReviews
