laptopname,brandname,modelname,screensize,color,harddisk,cpumodel, ram,operating,special,graphicdescription,agerangedescription,material,storagevolume,amazonprice in (LE),ratingnumber,deliverytype,amazongetlink,amazon_rating_link
"ASUS VivoBook 15 Laptop and Processor-Intel Celeron N4020 1.1GHz and RAM-4GB and Storage-256GB SSD and OS-Windows 11 Home and Display-15.6 FHD and Graphics-Intel UHD 600 and Color-Grey (X515M-BR001W)","ASUS","X515M-BR001W","15.6 Inches","Gray","256 GB","Celeron N4020","4 GB","Windows 11 Home","Wireless-Wi-Fi 5(802.11ac) (Dual band) + Bluetooth 5.1 Wireless Card/ System diagnosis Battery health charging WiFi SmartConnect Link to MyASUS/ Processor-Intel Celeron N4020 Processor 1.1 GHz (4M Cache/ up to 2.8 GHz/ 2 cores)/ Graphics-Intel UHD Graphics 600","Integrated","","","","11999.0","13","Fulfilled by Amazon - FREE Shipping","https://www.amazon.eg//-/en/ASUS-Processor-Intel-Storage-256GB-Graphics-Intel-X515M-BR001W/dp/B0D26GCBVX","https://www.amazon.eg//-/en/ASUS-Processor-Intel-Storage-256GB-Graphics-Intel-X515M-BR001W/dp/B0D26GCBVX#customerReviews"
"HP Laptop 15s (15s-fq5042ne) and CPU: Core i7-1255U and 16GB DDR4 2DM 3200 Graphics Card: Intel Iris Xe  and VRAM: Shared and Display: 15.6 FHD Antiglare ultraslim SVA 250 nits Narrow Border and 512GB and Windows 11","HP","15S-FQ5042NE","15.6 Inches","Silver","512 GB","Core i7-1255U","16 GB","Windows 11","fingerprint reader","Integrated","","","","30149.0","4","Fulfilled by Amazon - FREE Shipping","https://www.amazon.eg//-/en/HP-Laptop-15s-15s-fq5042ne-CPU/dp/B0BM539PWJ","https://www.amazon.eg//-/en/HP-Laptop-15s-15s-fq5042ne-CPU/dp/B0BM539PWJ#customerReviews"
"Dell Vostro 3520 Laptop - 12th Intel Core i5-1235U 10-Cores and 8GB RAM and 512GB SSD and Intel UHD Graphics and 15.6" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare and FingerPrint and Ubuntu - Carbon Black","Dell","Vostro 3520","15.6 Inches","Carbon Black","512 GB","Core i5-1235U","8 GB","Ubuntu","65 Watt AC Adapter/ English Arabic Full Size Keyboard/ 15.6 inch FHD (1920 x 1080) 120Hz 250 nits WVA Anti-Glare LED Backlit Narrow Border Display/ 3-Cell Battery 41WHr (Integrated)/ Intel UHD Graphics","Integrated","","","","21629.0","23","Fulfilled by Amazon - FREE Shipping","https://www.amazon.eg//-/en/Dell-Vostro-3520-Laptop-FingerPrint/dp/B0CQFCNBT4","https://www.amazon.eg//-/en/Dell-Vostro-3520-Laptop-FingerPrint/dp/B0CQFCNBT4#customerReviews"
"HP Victus Gaming Laptop (15-fb1004ne) and CPU: Ryzen 5-7535HS and 16GB DDR5 2DM 4800 Graphics Card: NVIDIA GeForce RTX 2050 and VRAM: 4GB and Display: 15.6 FHD Antiglare IPS 250 nits 144Hz and 512GB and Windows 11","HP","Victus","15.6 Inches","Black","","","16 GB","Windows 11","Wireless: MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth 5.3 wireless card (supporting gigabit data rate)/ Graphics: NVIDIA GeForce RTX 2050 Laptop GPU (4 GB GDDR6 dedicated)/ Storage: 512 GB PCIe Gen4 NVMe M.2 SSD/ Processor: AMD Ryzen 5 7535HS (up to 4.55 GHz max boost clock/ 16 MB L3 cache/ 6 cores/ 12 threads)/ Battery: 3-cell/ 52.5 Wh Li-ion polymer","Dedicated","","","","32949.0","11","Fulfilled by Amazon - FREE Shipping","https://www.amazon.eg//-/en/HP-Victus-Gaming-Laptop-15-fb1004ne/dp/B0CZTTPBB5","https://www.amazon.eg//-/en/HP-Victus-Gaming-Laptop-15-fb1004ne/dp/B0CZTTPBB5#customerReviews"
"ASUS Vivobook 15-X1504VA-NJ005W- i5-1335U-DDR4 8GB-512GB M.2 NVMe -Intel Iris X Graphics - 15.6-inch FHD (1920 x 1080) -Win11","ASUS","X1504VA-NJ005W","15.6 Inches","Quiet Blue","512 GB","Core i5-2310","8 GB","Windows 11 Home","Quiet","Integrated","","","","20499.0","6","Fulfilled by Amazon - FREE Shipping","https://www.amazon.eg//-/en/ASUS-Vivobook-15-X1504VA-NJ005W-i5-1335U-DDR4-8GB-512GB/dp/B0CN52DP3D","https://www.amazon.eg//-/en/ASUS-Vivobook-15-X1504VA-NJ005W-i5-1335U-DDR4-8GB-512GB/dp/B0CN52DP3D#customerReviews"
"ASUS VivoBook 15 Laptop and Processor-Intel Celeron N4020 1.1GHz and RAM-4GB and Storage-256GB SSD and OS-Windows 11 Home and Display-15.6 FHD and Graphics-Intel UHD 600 and Color-Grey (X515M-BR001W)","ASUS","X515M-BR001W","15.6 Inches","Gray","256 GB","Celeron N4020","4 GB","Windows 11 Home","Wireless-Wi-Fi 5(802.11ac) (Dual band) + Bluetooth 5.1 Wireless Card/ System diagnosis Battery health charging WiFi SmartConnect Link to MyASUS/ Processor-Intel Celeron N4020 Processor 1.1 GHz (4M Cache/ up to 2.8 GHz/ 2 cores)/ Graphics-Intel UHD Graphics 600","Integrated","","","","11999.0","13","Fulfilled by Amazon - FREE Shipping","https://www.amazon.eg//-/en/ASUS-Processor-Intel-Storage-256GB-Graphics-Intel-X515M-BR001W/dp/B0D26GCBVX","https://www.amazon.eg//-/en/ASUS-Processor-Intel-Storage-256GB-Graphics-Intel-X515M-BR001W/dp/B0D26GCBVX#customerReviews"
"HP Laptop 15s (15s-fq5042ne) and CPU: Core i7-1255U and 16GB DDR4 2DM 3200 Graphics Card: Intel Iris Xe  and VRAM: Shared and Display: 15.6 FHD Antiglare ultraslim SVA 250 nits Narrow Border and 512GB and Windows 11","HP","15S-FQ5042NE","15.6 Inches","Silver","512 GB","Core i7-1255U","16 GB","Windows 11","fingerprint reader","Integrated","","","","30149.0","4","Fulfilled by Amazon - FREE Shipping","https://www.amazon.eg//-/en/HP-Laptop-15s-15s-fq5042ne-CPU/dp/B0BM539PWJ","https://www.amazon.eg//-/en/HP-Laptop-15s-15s-fq5042ne-CPU/dp/B0BM539PWJ#customerReviews"
"Dell Vostro 3520 Laptop - 12th Intel Core i5-1235U 10-Cores and 8GB RAM and 512GB SSD and Intel UHD Graphics and 15.6" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare and FingerPrint and Ubuntu - Carbon Black","Dell","Vostro 3520","15.6 Inches","Carbon Black","512 GB","Core i5-1235U","8 GB","Ubuntu","65 Watt AC Adapter/ English Arabic Full Size Keyboard/ 15.6 inch FHD (1920 x 1080) 120Hz 250 nits WVA Anti-Glare LED Backlit Narrow Border Display/ 3-Cell Battery 41WHr (Integrated)/ Intel UHD Graphics","Integrated","","","","21629.0","23","Fulfilled by Amazon - FREE Shipping","https://www.amazon.eg//-/en/Dell-Vostro-3520-Laptop-FingerPrint/dp/B0CQFCNBT4","https://www.amazon.eg//-/en/Dell-Vostro-3520-Laptop-FingerPrint/dp/B0CQFCNBT4#customerReviews"
"HP Victus Gaming Laptop (15-fb1004ne) and CPU: Ryzen 5-7535HS and 16GB DDR5 2DM 4800 Graphics Card: NVIDIA GeForce RTX 2050 and VRAM: 4GB and Display: 15.6 FHD Antiglare IPS 250 nits 144Hz and 512GB and Windows 11","HP","Victus","15.6 Inches","Black","","","16 GB","Windows 11","Wireless: MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth 5.3 wireless card (supporting gigabit data rate)/ Graphics: NVIDIA GeForce RTX 2050 Laptop GPU (4 GB GDDR6 dedicated)/ Storage: 512 GB PCIe Gen4 NVMe M.2 SSD/ Processor: AMD Ryzen 5 7535HS (up to 4.55 GHz max boost clock/ 16 MB L3 cache/ 6 cores/ 12 threads)/ Battery: 3-cell/ 52.5 Wh Li-ion polymer","Dedicated","","","","32949.0","11","Fulfilled by Amazon - FREE Shipping","https://www.amazon.eg//-/en/HP-Victus-Gaming-Laptop-15-fb1004ne/dp/B0CZTTPBB5","https://www.amazon.eg//-/en/HP-Victus-Gaming-Laptop-15-fb1004ne/dp/B0CZTTPBB5#customerReviews"
"ASUS Vivobook 15-X1504VA-NJ005W- i5-1335U-DDR4 8GB-512GB M.2 NVMe -Intel Iris X Graphics - 15.6-inch FHD (1920 x 1080) -Win11","ASUS","X1504VA-NJ005W","15.6 Inches","Quiet Blue","512 GB","Core i5-2310","8 GB","Windows 11 Home","Quiet","Integrated","","","","20499.0","6","Fulfilled by Amazon - FREE Shipping","https://www.amazon.eg//-/en/ASUS-Vivobook-15-X1504VA-NJ005W-i5-1335U-DDR4-8GB-512GB/dp/B0CN52DP3D","https://www.amazon.eg//-/en/ASUS-Vivobook-15-X1504VA-NJ005W-i5-1335U-DDR4-8GB-512GB/dp/B0CN52DP3D#customerReviews"
