laptopname,amazonprice in (LE),specs,ratingnumber,deliverytype,amazongetlink,amazon_rating_link
"Dell Vostro 3520 Laptop - 12th Intel Core i5-1235U 10-Cores and 8GB RAM and 512GB SSD and Intel UHD Graphics and 15.6" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare and FingerPrint and Ubuntu - Carbon Black","19799.0"," Brand Name:Dell
 Model Name:Vostro 3520
 Screen Size:15.6 Inches
 Color:Carbon Black
 Hard Disk Size:512 GB
 CPU Model:Core i5-1235U
 RAM Memory Installed:8 GB
 Operating System:Ubuntu
 Special Features:Integrated
","19","FREE delivery","https://www.amazon.eg//-/en/Dell-Vostro-3520-Laptop-FingerPrint/dp/B0CQFCNBT4","https://www.amazon.eg//-/en/Dell-Vostro-3520-Laptop-FingerPrint/dp/B0CQFCNBT4#customerReviews"
"ASUS VivoBook 15 Laptop and Processor-Intel Celeron N4020 1.1GHz and RAM-4GB and Storage-256GB SSD and OS-Windows 11 Home and Display-15.6 FHD and Graphics-Intel UHD 600 and Color-Grey (X515M-BR001W)","11999.0"," Brand Name:ASUS
 Model Name:X515M-BR001W
 Screen Size:15.6 Inches
 Color:Gray
 Hard Disk Size:256 GB
 CPU Model:Celeron N4020
 RAM Memory Installed:4 GB
 Operating System:Windows 11 Home
 Special Features:Integrated
","19","FREE delivery","https://www.amazon.eg//-/en/ASUS-Processor-Intel-Storage-256GB-Graphics-Intel-X515M-BR001W/dp/B0D26GCBVX","https://www.amazon.eg//-/en/ASUS-Processor-Intel-Storage-256GB-Graphics-Intel-X515M-BR001W/dp/B0D26GCBVX#customerReviews"
"HP Victus Gaming Laptop (15-fb1004ne) and CPU: Ryzen 5-7535HS and 16GB DDR5 2DM 4800 Graphics Card: NVIDIA GeForce RTX 2050 and VRAM: 4GB and Display: 15.6 FHD Antiglare IPS 250 nits 144Hz and 512GB and Windows 11","32949.0"," Brand Name:HP
 Model Name:Victus
 Screen Size:15.6 Inches
 Color:Black
 RAM Memory Installed:16 GB
 Operating System:Windows 11
 Special Features:Dedicated
 Graphics Description:SSD
 Hard Disk Description:1920x1080
","19","FREE delivery","https://www.amazon.eg//-/en/HP-Victus-Gaming-Laptop-15-fb1004ne/dp/B0CZTTPBB5","https://www.amazon.eg//-/en/HP-Victus-Gaming-Laptop-15-fb1004ne/dp/B0CZTTPBB5#customerReviews"
"ASUS Vivobook 15 and AMD Ryzen 7 7730U and 8GB DDR4 on board AMD Radeon Graphics and 15.6" (1920 x 1200) 16:10 IPS 250 Nits and 512GB SSD and Windows 11 (D1502YA-NJ007W) 1 Year Perfect Warranty by ASUS","22730.0"," Brand Name:ASUS
 Model Name:D1502YA-NJ007W
 Screen Size:15.6 Inches
 Color:Black
 Hard Disk Size:512 GB
 CPU Model:Ryzen 7
 RAM Memory Installed:8 GB
 Operating System:Windows 11 Home
 Special Features:Light Weight
 Graphics Description:Integrated
","19","FREE delivery","https://www.amazon.eg//-/en/ASUS-Vivobook-Ryzen-Radeon-Graphics/dp/B0D2DD39XR","https://www.amazon.eg//-/en/ASUS-Vivobook-Ryzen-Radeon-Graphics/dp/B0D2DD39XR#customerReviews"
"ASUS TUF Gaming A15 FA506NFR-HN007W Gaming Laptop AMD R7 7435HS 8GB RAM 512GB SSD RTX 2050 4GB 15.6” FHD 144Hz Win11 Graphite Black - 90NR0JU7-M000R0","31800.0"," Brand Name:ASUS
 Model Name:ASUS TUF
 Screen Size:15.6
 Color:Black
 Hard Disk Size:512 GB
 CPU Model:AMD Ryzen 7
 RAM Memory Installed:8 GB
 Operating System:Windows 11 Home
 Special Features:Backlit Keyboard
 Graphics Description:Integrated
","19","FREE delivery","https://www.amazon.eg//-/en/ASUS-Gaming-FA506NFR-HN007W-Laptop-Graphite/dp/B0DLH5Z41C","not available"
"Lenovo IdeaPad Slim 3 15IRH8 Intel Core i5-13420H 512GB SSD 8GB RAM Intel UHD Graphics 15.6" Windows 11 Laptop and Arctic Grey","24369.0"," Brand Name:Lenovo
 Model Name:Laptop
 Screen Size:15.6 Inches
 Color:Gray
 Hard Disk Size:512 GB
 CPU Model:None
 RAM Memory Installed:8 GB
 Operating System:Windows 11
 Graphics Description:Integrated
 Graphics Coprocessor:Intel UHD Graphics
","19","FREE delivery","https://www.amazon.eg//-/en/Lenovo-IdeaPad-i5-13420H-Graphics-Windows/dp/B0D45KJ723","not available"
"Lenovo V15 G2 Laptop - Ryzen 5 5500U 6-Cores and 8 GB RAM and 1TB HDD + 256 GB SSD PCIe NVMe and Integrated AMD Radeon Graphics and 15.6" FHD (1920x1080) TN 250nits Anti-glare and Dos - Black","21999.0"," Brand Name:Lenovo
 Model Name:Lenovo V15 G2 5500U 8G 1T 256G
 Screen Size:15.6 Inches
 Color:Black
 Hard Disk Size:1256 GB
 CPU Model:AMD Ryzen 5 5500U
 RAM Memory Installed:8 GB
 Operating System:DOS
 Special Features:Integrated
","19","FREE delivery","https://www.amazon.eg//-/en/Lenovo-V15-Laptop-Integrated-Anti-glare/dp/B0CKY76CSM","not available"
"Asus X1504VA-NJ017W Vivobook 15 Intel Core i7-1355U 8GB RAM 512GB SSD Windows 11 Home 16:9 60Hz 15.6-Inch FHD Display Laptop and Quiet Blue","24900.0"," Brand Name:ASUS
 Model Name:X1504VA-NJ017W
 Screen Size:15.6 Inches
 Color:Black
 Hard Disk Size:512 GB
 CPU Model:Intel Core i7
 RAM Memory Installed:8 GB
 Operating System:Windows 11 Home
 Special Features:Light Weight
 Graphics Description:Integrated
","19","FREE delivery","https://www.amazon.eg//-/en/X1504VA-NJ017W-Vivobook-Intel-i7-1355U-Windows/dp/B0D26FM5RZ","https://www.amazon.eg//-/en/X1504VA-NJ017W-Vivobook-Intel-i7-1355U-Windows/dp/B0D26FM5RZ#customerReviews"
"Lenovo IdeaPad 1 15IAU7 Laptop - 12th Intel Core i3-1215U and 8 GB RAM and 256 GB SSD and Integrated Intel UHD Graphics and 15.6" HD (1366x768) TN 220nits Anti-glare and Abyss Blue","15999.0"," Brand Name:Lenovo
 Model Name:Lenovo IdeaPad 1 15IAU7
 Screen Size:15.6 Inches
 Color:Abyss Blue
 Hard Disk Size:256 GB
 CPU Model:Core i3-1215U
 RAM Memory Installed:8 GB
 Special Features:Integrated
 Graphics Description:Intel UHD Graphics
","19","FREE delivery","https://www.amazon.eg//-/en/Lenovo-IdeaPad-15IAU7-Laptop-Integrated/dp/B0DC9BLBHM","https://www.amazon.eg//-/en/Lenovo-IdeaPad-15IAU7-Laptop-Integrated/dp/B0DC9BLBHM#customerReviews"
"HP Laptop 15s (15s-fq5042ne) and CPU: Core i7-1255U and 16GB DDR4 2DM 3200 Graphics Card: Intel Iris Xe  and VRAM: Shared and Display: 15.6 FHD Antiglare ultraslim SVA 250 nits Narrow Border and 512GB and Windows 11","30149.0"," Brand Name:HP
 Model Name:15S-FQ5042NE
 Screen Size:15.6 Inches
 Color:Silver
 Hard Disk Size:512 GB
 CPU Model:Core i7-1255U
 RAM Memory Installed:16 GB
 Operating System:Windows 11
 Special Features:fingerprint reader
 Graphics Description:Integrated
","19","FREE delivery","https://www.amazon.eg//-/en/HP-Laptop-15s-15s-fq5042ne-CPU/dp/B0BM539PWJ","https://www.amazon.eg//-/en/HP-Laptop-15s-15s-fq5042ne-CPU/dp/B0BM539PWJ#customerReviews"
