name,newprice,oldprice,stock,warranty,data,productlink
"Redragon H270 RGB Gaming Headset with Microphone Wired Compatible with Xbox One and Nintendo Switch and PS4 and PS5 and PC and Laptops (White)","1099","1350","In Stock","no warranty","Multi-Platform Compatibility: Works with Xbox One and PS4 and PS5 and Nintendo Switch (audio only) and Mac and PC and and laptops.RGB Backlit: Dynamic lighting on both ear cups.Built-in Volume Control: Easy audio adjustments.Omnidirectional Rotatable Microphone: Adjustable mic with on/off indicator","https://www.sigma-computer.com/item?id=7664&name=Redragon_H270_RGB_Gaming_Headset_with_Microphone_Wired_Compatible_with_Xbox_One,_Nintendo_Switch,_PS4,_PS5,_PC_and_Laptops_(White)"
"Redragon M814 Wireless Gaming Mouse and Tri-Mode 2.4G/USB-C/Bluetooth Ergonomic Mouse Gaming and 8000 DPI and RGB Backlit and Fully Programmable and Rechargeable Wireless Computer Mouse for Laptop PC Mac","1399","1650","In Stock","no warranty","3 Modes: Wired and 2.4GHz Wireless and Bluetooth8000 DPI Sensor: Adjustable gaming-grade precision8 Programmable Buttons: With on-board memoryRGB Backlight: Ergonomic and stylish design","https://www.sigma-computer.com/item?id=7663&name=Redragon_M814_Wireless_Gaming_Mouse,_Tri-Mode_2.4G/USB-C/Bluetooth_Ergonomic_Mouse_Gaming,_8000_DPI,_RGB_Backlit,_Fully_Programmable,_Rechargeable_Wireless_Computer_Mouse_for_Laptop_PC_Mac"
"Laptop Dell Vostro 3520 - Intel Core i5 1235U - Intel UHD Graphics - 8GB DDR4 2666MHz -256GB NVMe SSD - 15.6 inch FHD 120Hz","19199","20000","Out Of Stock","ضمــــــان سنــــــة","Processor 
12th Generation Intel(R) Core( TM) i5-1235U (12MB Cache and up to 4.4 GHz and 10 cores)
Graphics
Intel(R) UHD Graphics
Memory 
8GB and 1x8GB and DDR4 and 2666MHz
Storage 
256GB M.2 PCIe NVMe Solid Stat e Drive
Display
15.6 inch FHD (1920 x 1080) 120Hz 250 nits WVA Anti- Glare L ED Backlit Narrow Border Display","https://www.sigma-computer.com/item?id=7652&name=Laptop_Dell_Vostro_3520_-_Intel_Core_i5_1235U_-_Intel_UHD_Graphics_-_8GB_DDR4_2666MHz_-256GB_NVMe_SSD_-_15.6_inch_FHD_120Hz"
"HP Victus16-r1062ne Intel Core i5 14450HX-RTX 3050 6GB-16GB 5600Mhz DDR5-1TB SSD Gen4 -16.1 FHD IPS 144Hz","43999","45000","In Stock","ضمــــــــان سنـــــــــة","Processor: Intel Core i5-14450HX

	
Cores/Threads: 10 cores (6 performance cores + 4 efficient cores) and 16 threads
Cache: 24MBCores/Threads: 10 cores (6 performance cores + 4 efficient cores) and 16 threadsCache: 24MBGraphics Card: NVIDIA GeForce RTX 3050 with 6GB GDDR6 VRAMRAM: 16GB DDR5 (2 x 8GB modules) with a blazing-fast 5600 MHz speedStorage: 1TB SSD Gen4 (ultra-fast NVMe storage for quick boot and load times)Display: 16.1-inch FHD IPS display with a 144Hz refresh rate (provides smooth and vibrant visuals and perfect for gaming and content creation)","https://www.sigma-computer.com/item?id=7642&name=HP_Victus16-r1062ne_Intel_Core_i5_14450HX-RTX_3050_6GB-16GB_5600Mhz_DDR5-1TB_SSD_Gen4_-16.1_FHD_IPS_144Hz"
"HP Victus16-r1066ne Intel Core i5 14450HX-RTX 3050 6GB-16GB 5600Mhz DDR5-1TB SSD Gen4 -16.1 FHD IPS 144Hz","43499","45000","In Stock","ضمــــــــان سنـــــــــــة","Processor: Intel Core i5-14450HX

	
Cores/Threads: 10 cores (6 performance + 4 efficiency) / 16 threads
Designed for high-performance gaming and multitaskingCores/Threads: 10 cores (6 performance + 4 efficiency) / 16 threadsDesigned for high-performance gaming and multitaskingGraphics Card: NVIDIA GeForce RTX 3050 with 6GB of VRAM
	
Excellent for gaming and rendering and and other GPU-intensive tasksExcellent for gaming and rendering and and other GPU-intensive tasksRAM: 16GB DDR5 (2 x 8GB modules) at 5600MHz
	
Dual-channel configuration for optimized memory performanceDual-channel configuration for optimized memory performanceStorage: 1TB SSD Gen4
	
Ultra-fast read/write speeds for quicker load times and system responsivenessUltra-fast read/write speeds for quicker load times and system responsivenessDisplay: 16.1-inch Full HD (1920x1080) IPS panel with a 144Hz refresh rate
	
Smooth and crisp visuals perfect for gaming and multimediaSmooth and crisp visuals perfect for gaming and multimedia","https://www.sigma-computer.com/item?id=7641&name=HP_Victus16-r1066ne_Intel_Core_i5_14450HX-RTX_3050_6GB-16GB_5600Mhz_DDR5-1TB_SSD_Gen4_-16.1_FHD_IPS_144Hz"
"Sigma laptop Backpack(black) And LAPTOP STAND Creative folding And MOUSE LGC CMU02 WIRELESS","449","650","In Stock","no warranty","Sigma Laptop Backpack (Black)Laptop Stand Creative FoldingLGC CMU02 Wireless Mouse","https://www.sigma-computer.com/item?id=7638&name=Sigma_laptop_Backpack(black)_And_LAPTOP_STAND_Creative_folding_And_MOUSE_LGC_CMU02_WIRELESS"
"MSI Modern 15 F13MG Laptop - Intel Core i5-1335U - 8GB DDR4 3200MHz - 512GB SSD - Intel Iris Xe Graphics - 15.6 FHD (1920x1080) IPS-Level","21749","24500","In Stock","ضمــــــان سنــــة","Model: MSI Modern 15 F13MGProcessor: Intel Core i5-1335U (13th Gen and up to 4.60 GHz) ( 10 cores & 12 threads )RAM: 8GB DDR4Storage: 512GB NVMe SSDGraphics: Intel Iris Xe GraphicsDisplay: 15.6" FHD (1920x1080) IPS-LevelConnectivity: Wi-Fi 6E and Bluetooth v5.3Ports: USB-A and USB-C and HDMI and RJ45 and Micro SDOS: Free DOSWarranty: 1 Year","https://www.sigma-computer.com/item?id=7624&name=MSI_Modern_15_F13MG_Laptop_-_Intel_Core_i5-1335U_-_8GB_DDR4_3200MHz_-_512GB_SSD_-_Intel_Iris_Xe_Graphics_-_15.6_FHD_(1920x1080)_IPS-Level"
"Lenovo LOQ 15IRX9 83DV0071PS Laptop and Intel Core i7-13650HX and 512GB SSD and 16GB RAM and 15.6 Inches and FHD IPS 144Hz Display and NVIDIA GeForce RTX 4050 GDDR6 6GB and FreeDos","46499","47499","Out Of Stock","ضمــــــان سنــــــة","Processor: Intel® Core™ i7-13650HX (14C/20T and up to 4.9GHz)GPU: NVIDIA® GeForce RTX™ 4050 (6GB GDDR6 and 105W TGP and G-SYNC®)Display: 15.6" FHD IPS and 144Hz and 100% sRGBMemory: 16GB DDR5-4800 (upgradable to 32GB)Storage: 512GB PCIe® 4.0 SSD (supports up to 2TB)Battery: 60WhWeight: 2.38 kgConnectivity: Wi-Fi 6 and Bluetooth 5.2 and HDMI® 2.1 and USB-C® (140W PD)Durability: MIL-STD-810H certified","https://www.sigma-computer.com/item?id=7600&name=Lenovo_LOQ_15IRX9_83DV0071PS_Laptop,_Intel_Core_i7-13650HX,_512GB_SSD,_16GB_RAM,_15.6_Inches,_FHD_IPS_144Hz_Display,_NVIDIA_GeForce_RTX_4050_GDDR6_6GB,_FreeDos"
"MSI-I9-Vector16 HX A14VHG-801EG Inte Core i9-14900HX- RTX4080 GDDR6 12GB - 32GB DDR5- 1TBNVMe PCIe Gen4x4- 16 QHD 240Hz- Win11Home","133999","138999","In Stock","ضمـــــــان سنتـــــين وكــــــيل","Processor: Intel Core i9-14900HX (14 cores and 24 threads)Graphics Card: NVIDIA GeForce RTX 4080 (12GB GDDR6)RAM: 32GB DDR5 (expandable)Storage: 1TB NVMe PCIe Gen4x4 SSDDisplay: 16-inch QHD+ (2560x1600) and 240Hz refresh rate and vibrant visualsOperating System: Windows 11 HomeCooling System: Advanced cooling for sustained performanceConnectivity: Latest Wi-Fi 6E and multiple ports for flexibilityDesign: Sleek and durable and ideal for mobility","https://www.sigma-computer.com/item?id=7583&name=MSI-I9-Vector16_HX_A14VHG-801EG_Inte_Core_i9-14900HX-_RTX4080_GDDR6_12GB_-_32GB_DDR5-_1TBNVMe_PCIe_Gen4x4-_16_QHD_240Hz-_Win11Home"
"MSI RAIDER 18 HX A14VIG 9S7-182232-471 Gaming Laptop Intel Core i9 14900HX 32GB RAM 2TB SSD 18 Inch QHD 240Hz 16GB NVIDIA RTX 4090 Win 11","176499","180000","Out Of Stock","ضمـــــــان سنتـــــين وكــــــيل","Processor: Latest Intel® Core™ i9-14900HX (14th Gen and powerhouse performance).Graphics: Up to NVIDIA® GeForce RTX™ 4090 Laptop GPU (16GB GDDR6 and NVIDIA DLSS 3 and Ada Lovelace and Max-Q).Display: 18" UHD+ MiniLED (3840x2400) and 16:10 and 240Hz and 100% DCI-P3 and VESA DisplayHDR™ 1000 Certified – stunning visuals with IPS-level panel.Operating System: Windows 11 Home / Pro (recommended Pro for business).Cooling: Cooler Boost 5 (dual fans and 6 heat pipes and 3D cooling stands).Battery: 99.9Whr for extended productivity.Sound: Premium 6-speaker system by Dynaudio for immersive audio.Webcam: IR FHD with shutter and HDR and and 3D Noise Reduction.Aesthetics: Mystic Light with Matrix Lightbar for next-level customization.","https://www.sigma-computer.com/item?id=7582&name=MSI_RAIDER_18_HX_A14VIG_9S7-182232-471_Gaming_Laptop_Intel_Core_i9_14900HX_32GB_RAM_2TB_SSD_18_Inch_QHD_240Hz_16GB_NVIDIA_RTX_4090_Win_11"
